Audience segment list report
All time
Segment name,Description,Upload status,Warning,Customer Type,Segment Type,Membership status,Size: Search,Size: YouTube,Size: Display,Size: Gmail campaign
Google-engaged audiences - for Account 9737598969,People who visited your website from the search results page or ads on Google surfaces., --, --,,Website visitors,Open,310,310,Incompatible,160
All visitors (Google Ads) System defined,People who visited pages that contain your remarketing tags, --, --,,Website visitors,Open,220,220,120,56
Google-engaged audiences - for Account 5637258909,People who visited your website from the search results page or ads on Google surfaces., --, --,,Website visitors,Closed,0,0,Incompatible,0
Default (Conversion-based),, --, --,,Customer segment,Open,Populating...,Populating...,Populating...,Populating...
Retargeting,All Users, --, --,,Website visitors,Open,0,0,0,0
"Calls & Bookings (Custom goal, Conversion-based)",, --, --,,Customer segment,Open,Populating...,Populating...,Populating...,Populating...
All visitors (Google Analytics),People who visited pages that contain your remarketing tags, --, --,,Website visitors,Open,0,0,0,0
Site Conversions,Goal Completions > 0 Transactions > 0, --, --,,Website visitors,Open,0,0,0,0
Non-converters,, --, --,,Custom combination segment,Open,"<1,000","<1,000","<1,000","<1,000"
Book appointment (Conversion-based),, --, --,,Customer segment,Open,Populating...,Populating...,Populating...,Populating...
Store visit (Conversion-based),, --, --,,Customer segment,Open,Populating...,Populating...,Populating...,Populating...
All converters,People who converted on your site. Based on your conversion tracking tag., --, --,,Website visitors,Open,"46,000","46,000","23,000","13,000"
[All Traffic] Non-converters,Goal Completions = 0 Transactions = 0, --, --,,Website visitors,Open,0,0,0,0
All converters,People who converted on your site. Based on your conversion tracking tag., --, --,,Website visitors,Closed,0,0,0,0
[All Traffic] Non-converters,Goal Completions = 0 Transactions = 0, --, --,,Website visitors,Open,0,0,0,0
AdWords optimized list,Combined audience based on available data sources, --, --,,Custom combination segment,Open,1K-10K,1K-10K,1K-10K,1K-10K
Purchasers of Spavia Day Spa - West Plano - GA4,Users who have purchased in the last 540 days, --, --,,Website visitors,Open,150,150,64,24
All converters,People who converted on your site. Based on your conversion tracking tag., --, --,,Website visitors,Open,0,0,0,0
Users Who Have Converted,Goal Completions > 0, --, --,,Website visitors,Open,0,0,0,0
